node_id,degree
0,506
1,492
2,477
3,518
4,455
5,484
6,503
7,495
8,472
9,513
10,492
11,480
12,473
13,485
14,496
15,481
16,461
17,503
18,451
19,498
20,501
21,466
22,484
23,488
24,449
25,494
26,463
27,505
28,461
29,476
30,485
31,457
32,477
33,515
34,495
35,482
36,471
37,481
38,503
39,489
40,493
41,478
42,472
43,482
44,489
45,456
46,476
47,495
48,475
49,449
50,451
51,493
52,456
53,487
54,473
55,458
56,507
57,481
58,497
59,498
60,469
61,499
62,474
63,511
64,466
65,494
66,469
67,505
68,491
69,519
70,487
71,514
72,483
73,447
74,460
75,491
76,479
77,488
78,477
79,515
80,499
81,509
82,468
83,475
84,474
85,525
86,493
87,496
88,516
89,475
90,513
91,509
92,474
93,490
94,447
95,487
96,470
97,451
98,501
99,500
100,514
101,471
102,442
103,473
104,444
105,462
106,474
107,484
108,495
109,469
110,500
111,475
112,498
113,472
114,500
115,460
116,476
117,462
118,470
119,477
120,490
121,442
122,495
123,501
124,487
125,532
126,468
127,481
128,490
129,467
130,465
131,470
132,480
133,489
134,473
135,537
136,472
137,452
138,463
139,490
140,518
141,500
142,504
143,497
144,507
145,538
146,475
147,528
148,484
149,518
150,523
151,499
152,495
153,475
154,468
155,473
156,494
157,458
158,498
159,493
160,476
161,469
162,474
163,472
164,505
165,522
166,499
167,480
168,462
169,470
170,483
171,490
172,432
173,504
174,508
175,496
176,453
177,494
178,497
179,490
180,465
181,479
182,499
183,477
184,469
185,471
186,460
187,485
188,502
189,453
190,484
191,495
192,488
193,499
194,485
195,487
196,499
197,515
198,488
199,464
200,458
201,465
202,471
203,514
204,508
205,475
206,473
207,476
208,463
209,501
210,460
211,510
212,496
213,463
214,472
215,460
216,486
217,452
218,490
219,462
220,486
221,520
222,495
223,488
224,504
225,517
226,497
227,532
228,497
229,483
230,488
231,495
232,469
233,491
234,485
235,495
236,492
237,469
238,477
239,495
240,502
241,466
242,464
243,462
244,520
245,523
246,477
247,478
248,526
249,511
250,483
251,535
252,501
253,507
254,492
255,480
256,506
257,450
258,514
259,507
260,546
261,519
262,478
263,464
264,495
265,441
266,525
267,531
268,428
269,448
270,439
271,471
272,511
273,507
274,497
275,459
276,468
277,500
278,487
279,508
280,525
281,488
282,459
283,447
284,476
285,450
286,443
287,495
288,454
289,474
290,453
291,469
292,454
293,509
294,488
295,517
296,479
297,492
298,480
299,493
300,469
301,474
302,453
303,506
304,448
305,468
306,534
307,452
308,498
309,478
310,480
311,437
312,506
313,449
314,488
315,452
316,493
317,465
318,501
319,482
320,513
321,463
322,497
323,494
324,432
325,478
326,481
327,472
