ID,GeneName,Community
2,AAAS,9
5,AAMDC,9
6,AAMP,9
21,ABCB8,9
32,ABCF2,9
36,ABHD11,9
37,ABHD12,9
41,ABHD17A,9
48,ABHD8,9
51,ABI3,9
61,ABT1,9
62,ABTB1,9
65,AC093323.1,9
66,ACAA1,9
78,ACAP3,9
82,ACBD4,9
83,ACBD5,9
84,ACBD6,9
85,ACD,9
105,ACP5,9
112,ACSS1,9
123,ACTR1A,9
124,ACTR1B,9
151,ADCK2,9
152,ADCK5,9
182,ADPRS,9
185,ADRM1,9
199,AGA,9
201,AGAP3,9
212,AGPAT3,9
215,AGR2,9
216,AGR3,9
219,AGTPBP1,9
220,AGTR1,9
221,AGTRAP,9
223,AHCY,9
229,AHSA1,9
231,AIF1,9
233,AIFM1,9
235,AIG1,9
237,AIMP2,9
238,AIP,9
251,AKAP8L,9
253,AKIP1,9
263,AKR7A2,9
266,AKT1S1,9
267,AKT2,9
274,ALDH16A1,9
291,ALG3,9
292,ALG5,9
296,ALKBH2,9
298,ALKBH4,9
299,ALKBH5,9
300,ALKBH7,9
307,ALYREF,9
310,AMDHD2,9
319,AMPD2,9
321,ANAPC11,9
324,ANAPC2,9
327,ANAPC7,9
328,ANG,9
345,ANKRD13D,9
346,ANKRD16,9
356,ANKRD54,9
360,ANKZF1,9
365,ANO8,9
368,ANP32B,9
371,ANTKMT,9
375,ANXA11,9
382,ANXA9,9
389,AP1G2,9
390,AP1M1,9
391,AP1M2,9
392,AP1S1,9
394,AP2A1,9
395,AP2A2,9
397,AP2M1,9
398,AP2S1,9
404,AP4M1,9
407,AP5Z1,9
411,APBB3,9
414,APEH,9
415,APEX1,9
416,APEX2,9
427,APOBR,9
437,APOO,9
443,APRT,9
450,ARAF,9
456,ARF1,9
457,ARF3,9
459,ARF5,9
461,ARFGAP1,9
468,ARFIP2,9
469,ARFRP1,9
485,ARHGAP39,9
486,ARHGAP4,9
487,ARHGAP40,9
488,ARHGAP45,9
492,ARHGEF1,9
497,ARHGEF16,9
499,ARHGEF18,9
521,ARL16,9
522,ARL2,9
523,ARL3,9
532,ARL8A,9
536,ARMC5,9
537,ARMC6,9
547,ARNT,9
549,ARPC1A,9
551,ARPC3,9
552,ARPC4,9
554,ARPC5L,9
559,ARRDC1,9
560,ARRDC2,9
563,ARSA,9
565,ARV1,9
566,ARVCF,9
572,ASB6,9
576,ASCC2,9
587,ASTN2,9
592,ATAD3A,9
598,ATF4,9
599,ATF5,9
604,ATG101,9
613,ATG4B,9
615,ATG4D,9
625,ATOX1,9
627,ATP11B,9
629,ATP13A1,9
635,ATP1B3,9
641,ATP5F1A,9
642,ATP5F1B,9
644,ATP5F1D,9
645,ATP5F1E,9
646,ATP5IF1,9
648,ATP5MC2,9
649,ATP5MC3,9
650,ATP5MD,9
652,ATP5MF,9
654,ATP5MPL,9
656,ATP5PD,9
657,ATP5PF,9
658,ATP5PO,9
659,ATP6AP1,9
660,ATP6AP2,9
662,ATP6V0B,9
663,ATP6V0D1,9
664,ATP6V0E1,9
670,ATP6V1E1,9
671,ATP6V1F,9
672,ATP6V1G1,9
680,ATRAID,9
681,ATRIP,9
691,AUP1,9
693,AURKAIP1,9
698,AXIN1,9
700,AZGP1,9
704,B3GALT4,9
705,B3GALT6,9
706,B3GAT3,9
711,B4GALNT4,9
713,B4GALT2,9
714,B4GALT3,9
717,B4GALT7,9
718,B4GAT1,9
719,B9D2,9
720,BABAM1,9
721,BABAM2,9
724,BAD,9
726,BAG3,9
731,BAIAP2,9
733,BAIAP3,9
736,BANF1,9
737,BAP1,9
