ID,GeneName,Community
2,AAAS,13
5,AAMDC,13
6,AAMP,13
21,ABCB8,13
32,ABCF2,13
36,ABHD11,13
37,ABHD12,13
41,ABHD17A,13
48,ABHD8,13
51,ABI3,13
61,ABT1,13
62,ABTB1,13
65,AC093323.1,13
66,ACAA1,13
78,ACAP3,13
82,ACBD4,13
83,ACBD5,13
84,ACBD6,13
85,ACD,13
105,ACP5,13
112,ACSS1,13
123,ACTR1A,13
124,ACTR1B,13
151,ADCK2,13
152,ADCK5,13
182,ADPRS,13
185,ADRM1,13
199,AGA,13
201,AGAP3,13
212,AGPAT3,13
215,AGR2,13
216,AGR3,13
219,AGTPBP1,13
220,AGTR1,13
221,AGTRAP,13
223,AHCY,13
229,AHSA1,13
231,AIF1,13
233,AIFM1,13
235,AIG1,13
237,AIMP2,13
238,AIP,13
251,AKAP8L,13
253,AKIP1,13
263,AKR7A2,13
266,AKT1S1,13
267,AKT2,13
274,ALDH16A1,13
291,ALG3,13
292,ALG5,13
296,ALKBH2,13
298,ALKBH4,13
299,ALKBH5,13
300,ALKBH7,13
307,ALYREF,13
310,AMDHD2,13
319,AMPD2,13
321,ANAPC11,13
324,ANAPC2,13
327,ANAPC7,13
328,ANG,13
345,ANKRD13D,13
346,ANKRD16,13
356,ANKRD54,13
360,ANKZF1,13
365,ANO8,13
368,ANP32B,13
371,ANTKMT,13
375,ANXA11,13
382,ANXA9,13
389,AP1G2,13
390,AP1M1,13
391,AP1M2,13
392,AP1S1,13
394,AP2A1,13
395,AP2A2,13
397,AP2M1,13
398,AP2S1,13
404,AP4M1,13
407,AP5Z1,13
411,APBB3,13
414,APEH,13
415,APEX1,13
416,APEX2,13
427,APOBR,13
437,APOO,13
443,APRT,13
450,ARAF,13
456,ARF1,13
457,ARF3,13
459,ARF5,13
460,ARF6,13
461,ARFGAP1,13
468,ARFIP2,13
469,ARFRP1,13
485,ARHGAP39,13
486,ARHGAP4,13
487,ARHGAP40,13
488,ARHGAP45,13
492,ARHGEF1,13
497,ARHGEF16,13
499,ARHGEF18,13
521,ARL16,13
522,ARL2,13
523,ARL3,13
532,ARL8A,13
536,ARMC5,13
537,ARMC6,13
538,ARMC7,13
547,ARNT,13
549,ARPC1A,13
551,ARPC3,13
552,ARPC4,13
554,ARPC5L,13
559,ARRDC1,13
560,ARRDC2,13
563,ARSA,13
565,ARV1,13
566,ARVCF,13
572,ASB6,13
576,ASCC2,13
587,ASTN2,13
592,ATAD3A,13
598,ATF4,13
599,ATF5,13
604,ATG101,13
613,ATG4B,13
615,ATG4D,13
625,ATOX1,13
627,ATP11B,13
629,ATP13A1,13
635,ATP1B3,13
641,ATP5F1A,13
642,ATP5F1B,13
644,ATP5F1D,13
645,ATP5F1E,13
646,ATP5IF1,13
648,ATP5MC2,13
649,ATP5MC3,13
650,ATP5MD,13
652,ATP5MF,13
654,ATP5MPL,13
656,ATP5PD,13
657,ATP5PF,13
658,ATP5PO,13
659,ATP6AP1,13
660,ATP6AP2,13
662,ATP6V0B,13
663,ATP6V0D1,13
664,ATP6V0E1,13
670,ATP6V1E1,13
671,ATP6V1F,13
672,ATP6V1G1,13
680,ATRAID,13
681,ATRIP,13
691,AUP1,13
693,AURKAIP1,13
698,AXIN1,13
700,AZGP1,13
704,B3GALT4,13
705,B3GALT6,13
706,B3GAT3,13
711,B4GALNT4,13
713,B4GALT2,13
714,B4GALT3,13
717,B4GALT7,13
718,B4GAT1,13
719,B9D2,13
720,BABAM1,13
721,BABAM2,13
724,BAD,13
726,BAG3,13
731,BAIAP2,13
733,BAIAP3,13
736,BANF1,13
737,BAP1,13
739,BASP1,13
740,BATF,13
741,BAX,13
745,BBC3,13
752,BCAM,13
753,BCAP31,13
754,BCAR1,13
757,BCAS4,13
758,BCAT2,13
761,BCKDK,13
765,BCL2L1,13
767,BCL2L12,13
