ID,GeneName,Community
2,AAAS,6
8,AAR2,6
11,AASDHPPT,6
17,ABCB7,6
19,ABCC1,6
22,ABCC5,6
25,ABCD4,6
28,ABCF2,6
40,ABHD4,6
46,ABITRAM,6
47,ABL1,6
54,AC004233.4,6
56,AC055839.2,6
75,ACBD7,6
76,ACD,6
77,ACER3,6
79,ACKR3,6
84,ACOT2,6
89,ACP1,6
95,ACSL4,6
97,ACSS1,6
101,ACTG1,6
106,ACTR10,6
111,ACTR5,6
142,ADGRL2,6
150,ADNP2,6
151,ADO,6
160,AEBP2,6
164,AFF4,6
166,AFMID,6
169,AGAP1,6
175,AGGF1,6
180,AGPAT1,6
190,AHCY,6
192,AHCYL2,6
197,AHSA1,6
200,AIF1L,6
206,AJUBA,6
208,AK3,6
209,AK4,6
210,AK6,6
213,AKAP11,6
233,ALDH16A1,6
234,ALDH18A1,6
244,ALDH6A1,6
250,ALG13,6
255,ALG8,6
256,ALKBH1,6
259,ALKBH4,6
266,ALPP,6
275,AMOT,6
278,AMPD2,6
280,ANAPC11,6
286,ANGEL1,6
296,ANKRA2,6
298,ANKRD11,6
307,ANKRD40,6
308,ANKRD49,6
323,ANP32B,6
340,AP1G1,6
341,AP1G2,6
342,AP1M1,6
344,AP1S1,6
345,AP1S2,6
353,AP3M1,6
354,AP3M2,6
364,APEX1,6
365,APEX2,6
370,APLP1,6
372,APMAP,6
386,APOOL,6
387,APP,6
388,APPBP2,6
390,APPL2,6
396,AQR,6
400,ARAP3,6
402,AREL1,6
407,ARF6,6
420,ARHGAP17,6
437,ARHGEF11,6
440,ARHGEF17,6
441,ARHGEF18,6
451,ARID4A,6
452,ARID4B,6
454,ARID5B,6
459,ARL14EP,6
460,ARL16,6
462,ARL3,6
465,ARL5A,6
474,ARMC6,6
477,ARMCX1,6
478,ARMCX2,6
479,ARMCX3,6
480,ARMCX6,6
484,ARNT2,6
488,ARPC4,6
509,ASCC1,6
512,ASCL2,6
524,ATAD1,6
529,ATE1,6
531,ATF2,6
535,ATF6,6
540,ATG12,6
542,ATG14,6
543,ATG16L1,6
546,ATG4B,6
549,ATG5,6
554,ATMIN,6
555,ATN1,6
559,ATP13A1,6
583,ATP5MPL,6
589,ATP6AP2,6
594,ATP6V0E2,6
599,ATP6V1D,6
602,ATP6V1G1,6
610,ATRN,6
611,ATRX,6
613,ATXN1L,6
617,ATXN7L3B,6
624,AVPI1,6
626,AXIN2,6
639,B4GALNT4,6
649,BACE1,6
652,BAD,6
656,BAG5,6
666,BASP1,6
672,BBS10,6
673,BBS2,6
674,BBS4,6
683,BCCIP,6
695,BCL7A,6
696,BCL7B,6
698,BCL9,6
701,BCOR,6
702,BCORL1,6
709,BET1,6
711,BEX1,6
713,BEX3,6
714,BEX4,6
715,BFAR,6
735,BLOC1S2,6
744,BMI1,6
748,BMPR1A,6
749,BMPR2,6
750,BMS1,6
751,BMT2,6
752,BNIP2,6
754,BNIP3L,6
756,BOD1,6
761,BORCS7,6
765,BPTF,6
771,BRD3,6
772,BRD3OS,6
774,BRD7,6
775,BRD8,6
776,BRD9,6
780,BRK1,6
790,BTAF1,6
796,BTBD7,6
808,BTRC,6
811,BUB3,6
812,BUD13,6
819,C10orf88,6
826,C11orf71,6
834,C14orf119,6
835,C14orf132,6
837,C16orf70,6
838,C16orf91,6
865,C1orf115,6
881,C1orf56,6
888,C2CD2,6
889,C2CD3,6
893,C2orf42,6
908,C5orf15,6
910,C5orf24,6
916,C6orf226,6
931,C9orf78,6
936,CAAP1,6
939,CABLES1,6
940,CABLES2,6
942,CACHD1,6
948,CADM1,6
949,CADM4,6
952,CALCOCO2,6
955,CALM1,6
964,CAMLG,6
965,CAMSAP1,6
966,CAMSAP2,6
971,CANT1,6
974,CAP2,6
984,CAPS,6
986,CAPZA2,6
993,CARM1,6
999,CASD1,6
1010,CASTOR2,6
1016,CBFA2T2,6
1017,CBFB,6
1018,CBL,6
1021,CBLL1,6
1023,CBX1,6
1024,CBX2,6
1026,CBX4,6
1032,CCAR1,6
1033,CCAR2,6
1036,CCDC112,6
1043,CCDC137,6
1049,CCDC22,6
1054,CCDC34,6
1067,CCDC8,6
1071,CCDC88C,6
1073,CCDC90B,6
1092,CCNB1IP1,6
1108,CCNT1,6
1109,CCNT2,6
1115,CCT3,6
1120,CCT8,6
1134,CD320,6
1151,CD82,6
1156,CD99L2,6
1161,CDC23,6
1167,CDC37L1,6
1171,CDC42BPB,6
1178,CDC42SE2,6
1182,CDC73,6
1186,CDCA7,6
1192,CDH2,6
1194,CDH3,6
1196,CDIP1,6
1199,CDK10,6
1201,CDK12,6
1202,CDK14,6
1204,CDK17,6
1206,CDK19,6
1215,CDK7,6
1223,CDKN2AIP,6
1224,CDKN2AIPNL,6
1233,CDS2,6
1240,CEBPG,6
1249,CENPBD1,6
1254,CENPT,6
1257,CENPX,6
1259,CEP131,6
1260,CEP164,6
1265,CEP57,6
1266,CEP68,6
1273,CERS4,6
1277,CETN2,6
1278,CETN3,6
1280,CFAP20,6
1282,CFAP97,6
1288,CFL2,6
1297,CHAMP1,6
1307,CHD6,6
1308,CHD7,6
1318,CHML,6
1336,CHST10,6
1338,CHST14,6
1344,CHURC1,6
1348,CIAPIN1,6
1352,CIC,6
1357,CINP,6
1359,CIPC,6
1368,CIZ1,6
1372,CKB,6
1378,CLBA1,6
1381,CLCN6,6
1385,CLDN12,6
1386,CLDN15,6
1389,CLDN3,6
1393,CLDN9,6
1397,CLEC16A,6
