id,label,community
AASS,AASS,5
ABCA1,ABCA1,5
ABCD1,ABCD1,5
ABHD15,ABHD15,5
ABHD5,ABHD5,5
ACAA2,ACAA2,5
ACACB,ACACB,5
ACADS,ACADS,5
ACO1,ACO1,5
ACO2,ACO2,5
ACOT1,ACOT1,5
ACOT2,ACOT2,5
ACSL1,ACSL1,5
ACSL4,ACSL4,5
ACSS2,ACSS2,5
ADGRF5,ADGRF5,5
ADGRL4,ADGRL4,5
ADH1B,ADH1B,5
ADH1C,ADH1C,5
ADH5,ADH5,5
ADIPOQ,ADIPOQ,5
ADRA2A,ADRA2A,5
ADRB2,ADRB2,5
AFAP1L1,AFAP1L1,5
AGPAT2,AGPAT2,5
AIFM2,AIFM2,5
AKAP12,AKAP12,5
ALDH2,ALDH2,5
ALDH6A1,ALDH6A1,5
ALDOC,ALDOC,5
ANGPTL4,ANGPTL4,5
ANO6,ANO6,5
ANTXR2,ANTXR2,5
ANXA6,ANXA6,5
AOC3,AOC3,5
APBB1IP,APBB1IP,5
APCDD1,APCDD1,5
APMAP,APMAP,5
APOE,APOE,5
APOL3,APOL3,5
APOL4,APOL4,5
APOLD1,APOLD1,5
AQP7,AQP7,5
ARPC5,ARPC5,5
ASS1,ASS1,5
ATP1A2,ATP1A2,5
ATP5ME,ATP5ME,5
AVPI1,AVPI1,5
BCKDHB,BCKDHB,5
BIN1,BIN1,5
BNIP3,BNIP3,5
BNIP3L,BNIP3L,5
BOK,BOK,5
BTG1,BTG1,5
BTNL9,BTNL9,5
C19orf12,C19orf12,5
C1QTNF1,C1QTNF1,5
C20orf27,C20orf27,5
C2CD2,C2CD2,5
C7,C7,5
CA3,CA3,5
CALB2,CALB2,5
CALCRL,CALCRL,5
CAT,CAT,5
CAV1,CAV1,5
CAV2,CAV2,5
CAVIN2,CAVIN2,5
CCDC50,CCDC50,5
CCDC69,CCDC69,5
CCDC92,CCDC92,5
CD300LG,CD300LG,5
CD36,CD36,5
CD99L2,CD99L2,5
CDKN1C,CDKN1C,5
CDKN2B,CDKN2B,5
CDKN2C,CDKN2C,5
CDO1,CDO1,5
