ClusteringCoefficient,Dataset
0.513443,Ovarian
0.396966,Ovarian
0.551141,Ovarian
0.303922,Ovarian
0.343087,Ovarian
0.243697,Ovarian
0.330645,Ovarian
0.263803,Ovarian
0.411120,Ovarian
0.362933,Ovarian
0.456263,Ovarian
0.404106,Ovarian
0.273159,Ovarian
0.427012,Ovarian
0.200846,Ovarian
0.379699,Ovarian
0.300751,Ovarian
0.434213,Ovarian
0.335729,Ovarian
0.478539,Ovarian
0.358817,Ovarian
0.364912,Ovarian
0.488121,Ovarian
0.309180,Ovarian
0.443455,Ovarian
0.583601,Ovarian
0.574493,Ovarian
0.536285,Ovarian
0.490668,Ovarian
0.384555,Ovarian
0.304701,Ovarian
0.353514,Ovarian
0.340408,Ovarian
0.469460,Ovarian
0.254725,Ovarian
0.188924,Ovarian
0.305708,Ovarian
0.372459,Ovarian
0.273874,Ovarian
0.261155,Ovarian
0.446833,Ovarian
0.537689,Ovarian
0.391457,Ovarian
0.311742,Ovarian
0.487049,Ovarian
0.284487,Ovarian
0.582981,Ovarian
0.415019,Ovarian
0.386489,Ovarian
0.355645,Ovarian
0.529590,Ovarian
0.373078,Ovarian
0.419479,Ovarian
0.163077,Ovarian
0.437848,Ovarian
0.374869,Ovarian
0.581727,Ovarian
0.439860,Ovarian
0.252111,Ovarian
0.430201,Ovarian
0.558030,Ovarian
0.425695,Ovarian
0.338870,Ovarian
0.202057,Ovarian
0.680281,Ovarian
0.345940,Ovarian
0.370253,Ovarian
0.534395,Ovarian
0.382353,Ovarian
0.293567,Ovarian
0.356156,Ovarian
0.600850,Ovarian
0.348839,Ovarian
0.222896,Ovarian
0.537573,Ovarian
0.439724,Ovarian
0.508904,Ovarian
0.483810,Ovarian
0.454690,Ovarian
0.476218,Ovarian
0.510561,Ovarian
0.381602,Ovarian
0.336968,Ovarian
0.443202,Ovarian
0.410287,Ovarian
0.323185,Ovarian
0.272338,Ovarian
0.241866,Ovarian
0.359480,Ovarian
0.508288,Ovarian
0.368923,Ovarian
0.425827,Ovarian
0.505561,Ovarian
0.363801,Ovarian
0.325824,Ovarian
0.458864,Ovarian
0.244566,Ovarian
0.540515,Ovarian
0.734017,Ovarian
0.468658,Ovarian
0.218878,Ovarian
0.479457,Ovarian
0.621375,Ovarian
0.418202,Ovarian
0.411252,Ovarian
0.472649,Ovarian
0.471926,Ovarian
0.377233,Ovarian
0.196721,Ovarian
0.314780,Ovarian
0.308856,Ovarian
0.473217,Ovarian
0.526901,Ovarian
0.473170,Ovarian
0.440652,Ovarian
0.372729,Ovarian
0.319836,Ovarian
0.345489,Ovarian
0.282146,Ovarian
0.264049,Ovarian
0.660356,Ovarian
0.345458,Ovarian
0.495928,Ovarian
0.339138,Ovarian
0.410216,Ovarian
0.188235,Ovarian
0.454033,Ovarian
0.359298,Ovarian
0.367314,Ovarian
0.333714,Ovarian
0.284658,Ovarian
0.302689,Ovarian
0.433784,Ovarian
0.383729,Ovarian
0.349309,Ovarian
0.241312,Ovarian
0.503632,Ovarian
0.430141,Ovarian
0.334683,Ovarian
0.353619,Ovarian
0.378370,Ovarian
0.623332,Ovarian
0.373893,Ovarian
0.456877,Ovarian
0.278457,Ovarian
0.295960,Ovarian
0.443445,Ovarian
0.695493,Ovarian
0.305642,Ovarian
0.389425,Ovarian
0.463945,Ovarian
0.466080,Ovarian
0.259163,Ovarian
0.269775,Ovarian
0.587934,Ovarian
0.227451,Ovarian
0.349765,Ovarian
0.367118,Ovarian
0.618595,Ovarian
0.458934,Ovarian
0.454062,Ovarian
0.284810,Ovarian
0.689330,Ovarian
0.354985,Ovarian
0.435793,Ovarian
0.303115,Ovarian
0.595618,Ovarian
0.383660,Ovarian
0.457297,Ovarian
0.289659,Ovarian
0.455657,Ovarian
0.450305,Ovarian
0.322531,Ovarian
0.371652,Ovarian
0.203014,Ovarian
0.588799,Ovarian
0.501746,Ovarian
0.555616,Ovarian
0.397699,Ovarian
0.292310,Ovarian
0.382971,Ovarian
0.235294,Ovarian
0.284291,Ovarian
0.308614,Ovarian
0.549268,Ovarian
0.631837,Ovarian
0.314224,Ovarian
0.623579,Ovarian
0.294372,Ovarian
0.437155,Ovarian
0.426064,Ovarian
0.522004,Ovarian
0.444198,Ovarian
0.538332,Ovarian
0.311180,Ovarian
0.258333,Ovarian
0.464867,Ovarian
0.514875,Ovarian
0.292603,Ovarian
0.545943,Ovarian
0.376623,Ovarian
0.194350,Ovarian
0.348792,Ovarian
0.461221,Ovarian
0.281579,Ovarian
0.227528,Ovarian
0.457252,Ovarian
0.267411,Ovarian
0.476995,Ovarian
0.460470,Ovarian
0.391172,Ovarian
0.517451,Ovarian
0.442773,Ovarian
0.377718,Ovarian
0.517163,Ovarian
0.284722,Ovarian
0.386680,Ovarian
0.414065,Ovarian
0.286219,Ovarian
0.546777,Ovarian
0.317599,Ovarian
0.255190,Ovarian
0.364133,Ovarian
0.439567,Ovarian
0.709097,Ovarian
0.349348,Ovarian
0.358954,Ovarian
0.223810,Ovarian
0.388131,Ovarian
0.427142,Ovarian
0.347745,Ovarian
0.570479,Ovarian
0.520697,Ovarian
0.324167,Ovarian
0.403019,Ovarian
0.250828,Ovarian
0.361469,Ovarian
0.403138,Ovarian
0.329825,Ovarian
0.715854,Ovarian
