id,label,community
ACADS,ACADS,6
ACTN4,ACTN4,6
ADAMTS1,ADAMTS1,6
ADI1,ADI1,6
AFG3L2,AFG3L2,6
AGFG2,AGFG2,6
AGPAT2,AGPAT2,6
AKAP12,AKAP12,6
ALG2,ALG2,6
ALKBH7,ALKBH7,6
ANAPC2,ANAPC2,6
ANKRD27,ANKRD27,6
ANKS6,ANKS6,6
ANXA11,ANXA11,6
ANXA3,ANXA3,6
AOPEP,AOPEP,6
ARFIP2,ARFIP2,6
ARHGAP29,ARHGAP29,6
ARRDC1,ARRDC1,6
ASB6,ASB6,6
ASPHD1,ASPHD1,6
ASS1,ASS1,6
ATL2,ATL2,6
ATP2B1,ATP2B1,6
ATP5F1D,ATP5F1D,6
ATP5PD,ATP5PD,6
AUH,AUH,6
AUP1,AUP1,6
B3GNT3,B3GNT3,6
BABAM2,BABAM2,6
BAIAP2,BAIAP2,6
BBOX1,BBOX1,6
BIK,BIK,6
BSPRY,BSPRY,6
BX255925.3,BX255925.3,6
C1D,C1D,6
CALM2,CALM2,6
CAPNS1,CAPNS1,6
CARD19,CARD19,6
CAST,CAST,6
CBLB,CBLB,6
CBR1,CBR1,6
CCDC3,CCDC3,6
CCT7,CCT7,6
CD151,CD151,6
CD47,CD47,6
CDC26,CDC26,6
CDH6,CDH6,6
CDK9,CDK9,6
CDS1,CDS1,6
CEBPZOS,CEBPZOS,6
CENPA,CENPA,6
CERK,CERK,6
CHMP4C,CHMP4C,6
CHMP6,CHMP6,6
CIP2A,CIP2A,6
CKS2,CKS2,6
CLDN10,CLDN10,6
CLIC5,CLIC5,6
CLPP,CLPP,6
CNKSR1,CNKSR1,6
COASY,COASY,6
COMMD7,COMMD7,6
CORO2A,CORO2A,6
COX6B1,COX6B1,6
COX6C,COX6C,6
CPM,CPM,6
CRACR2B,CRACR2B,6
CRB2,CRB2,6
CRB3,CRB3,6
CRYAB,CRYAB,6
CST6,CST6,6
CYB5R1,CYB5R1,6
DAB2IP,DAB2IP,6
DAG1,DAG1,6
DCAKD,DCAKD,6
DCDC2,DCDC2,6
DEAF1,DEAF1,6
DENND1A,DENND1A,6
DOK5,DOK5,6
DPM2,DPM2,6
DPP7,DPP7,6
DPY30,DPY30,6
DUSP8,DUSP8,6
DYRK1B,DYRK1B,6
ECH1,ECH1,6
EDF1,EDF1,6
EEF1AKMT3,EEF1AKMT3,6
EFNA1,EFNA1,6
EFNA5,EFNA5,6
EID2,EID2,6
EIF2A,EIF2A,6
EIF3K,EIF3K,6
EIF6,EIF6,6
EIPR1,EIPR1,6
ELF3,ELF3,6
EMILIN2,EMILIN2,6
ENTR1,ENTR1,6
EPHX1,EPHX1,6
EPHX4,EPHX4,6
EPS8L2,EPS8L2,6
ERP44,ERP44,6
F11R,F11R,6
F2RL1,F2RL1,6
FAM102A,FAM102A,6
FAM122A,FAM122A,6
FAM3B,FAM3B,6
FAM98C,FAM98C,6
FBL,FBL,6
FBXO17,FBXO17,6
FBXO27,FBXO27,6
FCHO1,FCHO1,6
FEZ2,FEZ2,6
FN3K,FN3K,6
FN3KRP,FN3KRP,6
FNBP1,FNBP1,6
FNTA,FNTA,6
FUNDC2,FUNDC2,6
GAA,GAA,6
GALK1,GALK1,6
GAS1,GAS1,6
GATA6,GATA6,6
GGCT,GGCT,6
GGH,GGH,6
GLE1,GLE1,6
GLUD1,GLUD1,6
GNAQ,GNAQ,6
GOLGA2,GOLGA2,6
GPATCH4,GPATCH4,6
GPI,GPI,6
GPR107,GPR107,6
GPR108,GPR108,6
GRAMD1A,GRAMD1A,6
GRHL2,GRHL2,6
GSN,GSN,6
GTF3C2,GTF3C2,6
GUF1,GUF1,6
HADHA,HADHA,6
HADHB,HADHB,6
HDAC7,HDAC7,6
HDHD3,HDHD3,6
HES1,HES1,6
HGSNAT,HGSNAT,6
HID1,HID1,6
HM13,HM13,6
HMMR,HMMR,6
HOXB2,HOXB2,6
HOXD3,HOXD3,6
HRAS,HRAS,6
HSBP1L1,HSBP1L1,6
IAH1,IAH1,6
IFT57,IFT57,6
IQGAP3,IQGAP3,6
IRAK1,IRAK1,6
IRF7,IRF7,6
ISCA1,ISCA1,6
JUP,JUP,6
KDM4B,KDM4B,6
KIF3C,KIF3C,6
KLK5,KLK5,6
KLK7,KLK7,6
KLK8,KLK8,6
KRT18,KRT18,6
KRT19,KRT19,6
KRT23,KRT23,6
KRT8,KRT8,6
KRT80,KRT80,6
LACTB2,LACTB2,6
LDHA,LDHA,6
LDLRAP1,LDLRAP1,6
LGALS1,LGALS1,6
LGALS7B,LGALS7B,6
LPAR1,LPAR1,6
LPAR3,LPAR3,6
LPIN2,LPIN2,6
LRRC8A,LRRC8A,6
LRRC8D,LRRC8D,6
LSM14A,LSM14A,6
LSR,LSR,6
MAL2,MAL2,6
MAN1B1,MAN1B1,6
MAP1LC3A,MAP1LC3A,6
MAP4K1,MAP4K1,6
MCCC2,MCCC2,6
MDH1,MDH1,6
ME3,ME3,6
MED22,MED22,6
MED25,MED25,6
MED27,MED27,6
MED29,MED29,6
MED30,MED30,6
METTL5,METTL5,6
MGST3,MGST3,6
MICOS13,MICOS13,6
MIF4GD,MIF4GD,6
MKNK1,MKNK1,6
MOB2,MOB2,6
MOB3C,MOB3C,6
MPND,MPND,6
MPV17,MPV17,6
MRPL12,MRPL12,6
MRPL33,MRPL33,6
MRPL41,MRPL41,6
MRPL50,MRPL50,6
MRPL58,MRPL58,6
MRPS12,MRPS12,6
MRPS2,MRPS2,6
MRPS6,MRPS6,6
MTERF3,MTERF3,6
MXRA7,MXRA7,6
MYO5B,MYO5B,6
NAA80,NAA80,6
NCS1,NCS1,6
NDOR1,NDOR1,6
NDUFA3,NDUFA3,6
NDUFA8,NDUFA8,6
NDUFB3,NDUFB3,6
NDUFV3,NDUFV3,6
NECTIN3,NECTIN3,6
NELFB,NELFB,6
NFKBIB,NFKBIB,6
NFKBID,NFKBID,6
NFU1,NFU1,6
NIBAN2,NIBAN2,6
NIPSNAP3A,NIPSNAP3A,6
NMT1,NMT1,6
NUDT16,NUDT16,6
NUDT16L1,NUDT16L1,6
NUDT19,NUDT19,6
NXN,NXN,6
ODF2,ODF2,6
OSR2,OSR2,6
OSTF1,OSTF1,6
OXTR,OXTR,6
PAF1,PAF1,6
PAK4,PAK4,6
PALMD,PALMD,6
PAXX,PAXX,6
PBK,PBK,6
PCYT2,PCYT2,6
PDK2,PDK2,6
PEX11B,PEX11B,6
PHOX2A,PHOX2A,6
PHPT1,PHPT1,6
PHRF1,PHRF1,6
PIAS3,PIAS3,6
PKM,PKM,6
PKP3,PKP3,6
PLEKHA7,PLEKHA7,6
PLEKHG2,PLEKHG2,6
PLEKHM1,PLEKHM1,6
PNPLA2,PNPLA2,6
POLE4,POLE4,6
POLR2G,POLR2G,6
POLR3C,POLR3C,6
POLR3GL,POLR3GL,6
POP4,POP4,6
PPP1R21,PPP1R21,6
PRPF4,PRPF4,6
PRSS23,PRSS23,6
PSMB7,PSMB7,6
PSMC4,PSMC4,6
PSMD8,PSMD8,6
PSRC1,PSRC1,6
PTGES2,PTGES2,6
PTGR1,PTGR1,6
PTPA,PTPA,6
PUS3,PUS3,6
PXK,PXK,6
QPCT,QPCT,6
QTRT2,QTRT2,6
R3HDM4,R3HDM4,6
RAB14,RAB14,6
RABL6,RABL6,6
RAPGEF5,RAPGEF5,6
RARG,RARG,6
RASSF7,RASSF7,6
RBM42,RBM42,6
RBM8A,RBM8A,6
RECQL4,RECQL4,6
RELA,RELA,6
RENBP,RENBP,6
RETSAT,RETSAT,6
REXO4,REXO4,6
RFK,RFK,6
RHOC,RHOC,6
RHOQ,RHOQ,6
RHPN2,RHPN2,6
RIPK2,RIPK2,6
RIPK4,RIPK4,6
RNF103,RNF103,6
RNF115,RNF115,6
RNF20,RNF20,6
RNH1,RNH1,6
RPS16,RPS16,6
RRAS2,RRAS2,6
RTKN,RTKN,6
S100A13,S100A13,6
S100A16,S100A16,6
SAMD4B,SAMD4B,6
SDHAF1,SDHAF1,6
SEC61B,SEC61B,6
SF3B6,SF3B6,6
SH2D3A,SH2D3A,6
SH3GLB2,SH3GLB2,6
SIGIRR,SIGIRR,6
SIPA1L3,SIPA1L3,6
SIRT2,SIRT2,6
SKA2,SKA2,6
SLC15A2,SLC15A2,6
SLC25A22,SLC25A22,6
SLC25A23,SLC25A23,6
SLC25A25,SLC25A25,6
SLC35A5,SLC35A5,6
SLC38A1,SLC38A1,6
SLC44A2,SLC44A2,6
SLC5A3,SLC5A3,6
SLC66A3,SLC66A3,6
SMC5,SMC5,6
SOX15,SOX15,6
SOX9,SOX9,6
SPINT2,SPINT2,6
SPOCK2,SPOCK2,6
SPR,SPR,6
SPTAN1,SPTAN1,6
SPTBN1,SPTBN1,6
SREBF2,SREBF2,6
SRI,SRI,6
SSNA1,SSNA1,6
STIM1,STIM1,6
STRN,STRN,6
STX17,STX17,6
STX4,STX4,6
STXBP1,STXBP1,6
STXBP2,STXBP2,6
SUPT5H,SUPT5H,6
SURF1,SURF1,6
SURF2,SURF2,6
SURF4,SURF4,6
SVIL,SVIL,6
SYNE4,SYNE4,6
TACO1,TACO1,6
TAGLN2,TAGLN2,6
TALDO1,TALDO1,6
TBC1D1,TBC1D1,6
TBCD,TBCD,6
TDRD7,TDRD7,6
TEX10,TEX10,6
