node_id,degree
0,402
1,113
2,409
3,85
4,1161
5,35
6,32
7,177
8,1526
9,278
10,1299
11,715
12,90
13,390
14,44
15,57
16,129
17,346
18,228
19,319
20,914
21,96
22,1176
23,513
24,1163
25,738
26,1032
27,1140
28,263
29,1051
30,122
31,75
32,50
33,155
34,97
35,80
36,204
37,575
38,75
39,310
40,863
41,1077
42,631
43,332
44,220
45,67
46,836
47,1353
48,110
49,554
50,812
51,473
52,311
53,26
54,99
55,88
56,562
57,1392
58,106
59,200
60,636
61,1655
62,43
63,58
64,358
65,140
66,80
67,524
68,85
69,171
70,114
71,989
72,524
73,55
74,1207
75,920
76,600
77,601
78,1465
79,469
80,1183
81,137
82,108
83,147
84,397
85,153
86,172
87,228
88,631
89,534
90,524
91,330
92,854
93,441
94,788
95,771
96,94
97,104
98,482
99,246
100,263
101,494
102,320
103,638
104,355
105,252
106,1184
107,680
108,61
109,853
110,201
111,999
112,893
113,1390
114,497
115,339
116,86
117,146
118,47
119,371
120,419
121,701
122,221
123,739
124,270
125,35
126,372
127,815
128,579
129,103
130,169
131,237
132,723
133,149
134,498
135,102
136,390
137,132
138,39
139,213
140,183
141,764
142,66
143,1279
144,109
145,45
146,574
147,329
148,153
149,979
150,1192
151,973
152,74
153,227
154,174
155,51
156,72
157,304
158,121
159,234
160,730
161,80
162,743
163,533
164,885
165,89
166,821
167,618
168,75
169,178
170,109
171,446
172,81
173,1360
174,48
175,715
176,784
177,1017
178,1276
179,443
180,358
181,85
182,124
183,90
184,1160
185,50
186,53
187,330
188,22
189,232
190,104
191,214
192,1001
193,830
194,108
195,16
196,108
197,292
198,231
199,246
200,56
201,60
202,46
203,533
204,96
205,89
206,676
207,83
208,207
209,613
210,73
211,1147
212,993
213,106
214,193
215,366
216,877
217,1648
218,201
219,187
220,205
221,134
222,107
223,226
224,698
225,94
226,777
227,85
228,138
229,591
230,227
231,956
232,201
233,62
234,435
235,82
236,122
237,149
238,76
239,648
240,56
241,44
242,28
243,173
244,400
245,130
246,135
247,79
248,64
249,90
250,553
251,115
252,356
253,133
254,752
255,424
256,993
257,59
258,79
259,488
260,1580
261,86
262,171
263,224
264,164
265,84
266,216
267,36
268,861
269,643
270,1482
271,136
272,515
273,157
274,663
275,531
276,596
277,19
278,298
279,338
280,587
281,143
282,48
283,282
284,1058
285,901
286,378
287,142
288,425
289,431
290,1269
291,1174
292,191
293,1156
294,666
295,126
296,128
297,166
298,635
299,53
300,415
301,172
302,953
