ID,GeneName,Degree
6029,RBM12,2132
5969,RALGAPB,2098
5031,OXSR1,2080
449,ARID1A,2046
6030,RBM14,2005
1574,CPSF6,2002
3033,GZF1,1978
7809,TOP1,1962
7389,TATDN2,1916
4424,MRTFB,1908
3613,KIDINS220,1906
4632,NCOA6,1897
2068,DYNC1LI2,1892
8446,XRN2,1891
6942,SMG8,1887
3208,HNRNPM,1870
1309,CHD8,1865
6923,SMARCAD1,1862
2919,GPATCH8,1844
4490,MTMR4,1841
7156,SRSF1,1837
3210,HNRNPU,1834
7042,SON,1831
980,CAPN7,1825
840,C17orf80,1819
700,BCLAF1,1818
8289,VEZT,1807
2004,DPH3,1805
5696,PRPF40A,1802
4492,MTOR,1799
6991,SNRNP200,1797
3876,LRRC1,1792
8233,USP34,1791
2820,GINS1,1785
1590,CREB1,1779
783,BRPF1,1778
7943,TRPC4AP,1776
947,CAD,1773
6501,SCAF8,1771
3393,ILF3,1771
7258,STRN3,1769
5843,PUM2,1769
8697,ZNF638,1767
3777,LEMD3,1767
1775,DBF4,1763
3666,KLHL42,1762
3205,HNRNPK,1759
8009,TTI1,1758
2087,EAF1,1754
388,APPBP2,1753
3815,LLGL1,1746
6330,RPRD1B,1744
7877,TRAPPC11,1733
3479,ITCH,1732
8013,TTLL4,1720
8613,ZNF207,1715
2226,ELMO2,1704
1180,CDC5L,1703
5529,POLR3F,1702
5816,PTPN1,1699
1625,CSE1L,1698
6248,RNGTT,1697
2768,GATAD2B,1694
3207,HNRNPLL,1694
4057,MAPRE1,1686
3597,KHDRBS1,1682
6932,SMC2,1681
5393,PLCG1,1679
5511,POLR2A,1679
8437,XPO1,1678
3598,KHNYN,1677
1307,CHD6,1677
3265,HSPA13,1676
8275,VBP1,1670
1813,DCUN1D1,1669
4048,MAPK6,1666
7300,SUPT16H,1664
2111,EDC4,1656
2343,ESCO1,1656
61,ACACA,1655
1018,CBL,1654
1918,DHX57,1652
3740,LANCL1,1651
669,BAZ1B,1650
2907,GOPC,1650
217,AKAP8L,1648
5569,PPIL4,1646
3204,HNRNPH3,1646
5615,PPP2R5D,1646
8630,ZNF281,1644
7063,SP3,1642
1921,DHX9,1641
7363,TAF6,1640
3209,HNRNPR,1636
1841,DDX3X,1636
5658,PRIM2,1635
1263,CEP250,1631
5653,PREP,1628
5274,PHF10,1628
3741,LANCL2,1627
