ID,GeneName,Degree
6380,PUM1,1718
8804,UBA5,1692
5850,PIK3R4,1665
6512,RALGAPB,1646
8627,TRIM44,1645
6971,RSF1,1608
8861,UBP1,1607
8685,TSN,1599
2026,DDX46,1579
6156,PPP4R3A,1576
3786,IPO11,1570
6233,PRPF4B,1565
7149,SEC24B,1563
1432,CHD8,1560
8589,TRAPPC11,1560
8976,USP46,1557
6494,RAD17,1543
5153,NEDD1,1543
3175,GOLGA1,1539
8332,TMEM131,1537
7241,SETD5,1533
419,API5,1526
8194,TGFBRAP1,1526
5168,NEMF,1524
308,AMBRA1,1519
6162,PPP6R3,1518
8518,TOP2B,1518
9133,WDR48,1516
6627,RCHY1,1511
2425,EIF4G3,1510
1588,CNOT2,1510
6187,PREPL,1508
3960,KDM3B,1504
5764,PHACTR4,1498
2156,DNAJB14,1497
7239,SETD2,1497
5479,ORC4,1496
3904,KANSL1,1496
9065,VPS41,1494
4592,METTL14,1492
2102,DHX36,1483
9370,ZNF12,1478
8872,UBTD2,1478
9253,ZBTB11,1476
6504,RAF1,1476
1411,CGGBP1,1476
9335,ZFP91,1475
8233,THUMPD3,1474
1107,CBLL1,1473
2108,DHX8,1468
8794,TYW1,1465
6522,RANBP3,1463
5780,PHF20,1462
6089,PPIG,1461
5647,PDCD6IP,1458
9424,ZNF317,1456
682,ATRN,1456
1277,CDC23,1455
205,AGGF1,1452
347,ANKRD17,1451
3211,GPATCH8,1450
11,AASDH,1449
509,ARID1A,1449
2437,ELF2,1447
4052,KLHL9,1447
7662,SNX4,1446
4393,MAML1,1444
4370,MADD,1444
355,ANKRD52,1442
8987,UTP15,1441
1507,CLCN3,1440
5009,NAA35,1435
5683,PDPK1,1435
6614,RBSN,1433
7940,SUGP1,1433
2786,FBXO3,1433
2610,EXD2,1432
1839,CTR9,1430
6797,RNF20,1428
1955,DBR1,1426
4465,MARCHF7,1423
9228,YLPM1,1416
9390,ZNF197,1415
2915,FOXJ2,1411
6217,PRMT9,1411
5038,NAPEPLD,1410
6684,RFX7,1406
1358,CELF1,1403
8092,TBCK,1402
778,BCLAF1,1396
4164,LEMD3,1393
4730,MON2,1392
8200,THADA,1392
5202,NFX1,1391
4593,METTL16,1391
6006,POFUT1,1390
5412,NUP54,1389
1730,CPSF7,1389
1822,CTCF,1389
8010,TAB3,1386
129,ACTR8,1384
1404,CFAP97,1379
4689,MLH3,1379
967,C2CD3,1378
8150,TENT2,1378
7768,SPTLC1,1375
7246,SETX,1375
7772,SPTY2D1,1373
1366,CENPC,1373
1957,DCAF1,1372
2168,DNAJC16,1371
1964,DCAF17,1369
6567,RBAK,1368
6579,RBM12,1368
4137,LARS1,1366
744,BAZ2A,1364
3541,HNRNPR,1364
6570,RBBP6,1363
3322,GTF3C4,1362
3802,IRAK4,1360
5163,NEK9,1359
5845,PIK3CB,1359
1683,COQ4,1357
9104,WASL,1356
9142,WDR7,1353
7076,SCAF11,1353
7622,SNRNP200,1353
9501,ZNF638,1352
1586,CNOT10,1352
9381,ZNF148,1351
9251,ZBTB1,1350
2097,DHX30,1350
3548,HOOK1,1348
1979,DCP1A,1348
5007,NAA25,1347
5091,NCOR1,1345
1471,CIAO1,1345
5089,NCOA6,1345
906,C11orf58,1344
6650,RELCH,1339
7704,SP3,1338
8939,URGCP,1337
6381,PUM2,1335
7549,SMARCAD1,1334
4057,KMT2A,1333
5750,PGGT1B,1332
5225,NIPBL,1331
6690,RGP1,1331
7715,SPATA13,1330
3959,KDM3A,1329
1750,CREBBP,1328
7117,SDAD1,1328
8873,UBTF,1327
3433,HELQ,1327
1590,CNOT4,1327
8198,TGOLN2,1325
1001,C7orf26,1322
1521,CLEC16A,1322
6232,PRPF40A,1321
9234,YTHDC1,1320
8878,UBXN2B,1320
7700,SP1,1319
5487,OSBP,1318
2037,DDX6,1318
4767,MRE11,1318
6495,RAD18,1317
412,APC,1316
1055,CAND1,1316
9336,ZFR,1314
9204,XRN2,1314
2951,FUBP1,1314
3832,ITCH,1313
9235,YTHDC2,1310
8020,TAF1,1309
2109,DHX9,1309
8354,TMEM167A,1309
6028,POLR1B,1307
7541,SMAD5,1306
8720,TTC26,1306
5008,NAA30,1305
5505,OTUB1,1305
2791,FBXO38,1305
3314,GTF2H3,1302
924,C17orf80,1297
4065,KPNA1,1296
8083,TBC1D5,1296
6573,RBBP9,1293
3958,KDM2A,1291
8640,TRIP11,1291
875,BTBD10,1290
4911,MTIF2,1290
8270,TKFC,1290
5507,OTUD4,1290
8251,TIMM29,1290
8591,TRAPPC13,1290
5782,PHF21A,1289
8724,TTC30B,1287
7829,SSH3,1286
195,AFF4,1286
1448,CHMP3,1286
