id,label,community
A2M,A2M,11
A4GALT,A4GALT,11
AAAS,AAAS,5
AACS,AACS,9
AAGAB,AAGAB,10
AAMDC,AAMDC,5
AAMP,AAMP,5
AAR2,AAR2,5
AARD,AARD,10
AARS1,AARS1,12
AARS2,AARS2,10
AASDH,AASDH,10
AASDHPPT,AASDHPPT,12
AASS,AASS,14
AATF,AATF,5
ABAT,ABAT,10
ABCA1,ABCA1,14
ABCA2,ABCA2,0
ABCA3,ABCA3,10
ABCB10,ABCB10,0
ABCB7,ABCB7,2
ABCB8,ABCB8,5
ABCC1,ABCC1,10
ABCC10,ABCC10,10
ABCC11,ABCC11,9
ABCC3,ABCC3,1
ABCC5,ABCC5,0
ABCD1,ABCD1,14
ABCD3,ABCD3,10
ABCD4,ABCD4,11
ABCE1,ABCE1,2
ABCF1,ABCF1,10
ABCF2,ABCF2,5
ABCF3,ABCF3,5
ABCG1,ABCG1,12
ABHD10,ABHD10,10
ABHD11,ABHD11,5
ABHD12,ABHD12,5
ABHD13,ABHD13,10
ABHD14B,ABHD14B,11
ABHD15,ABHD15,14
ABHD17A,ABHD17A,5
ABHD17B,ABHD17B,2
ABHD17C,ABHD17C,0
ABHD2,ABHD2,0
ABHD3,ABHD3,10
ABHD4,ABHD4,10
ABHD5,ABHD5,14
ABHD8,ABHD8,5
ABI1,ABI1,2
ABI2,ABI2,10
ABI3,ABI3,5
ABI3BP,ABI3BP,11
ABITRAM,ABITRAM,10
ABL1,ABL1,10
ABL2,ABL2,2
ABLIM1,ABLIM1,11
ABLIM3,ABLIM3,11
ABR,ABR,11
ABRACL,ABRACL,11
ABRAXAS2,ABRAXAS2,2
ABT1,ABT1,5
ABTB1,ABTB1,5
AC007906.2,AC007906.2,11
AC069544.2,AC069544.2,2
AC093323.1,AC093323.1,5
ACAA1,ACAA1,5
ACAA2,ACAA2,14
ACACA,ACACA,9
ACACB,ACACB,14
ACAD10,ACAD10,5
ACAD8,ACAD8,10
ACAD9,ACAD9,5
ACADM,ACADM,9
ACADS,ACADS,14
ACADSB,ACADSB,11
ACADVL,ACADVL,11
ACAP2,ACAP2,2
ACAP3,ACAP3,5
ACAT1,ACAT1,0
ACAT2,ACAT2,9
ACBD3,ACBD3,0
ACBD4,ACBD4,5
ACBD5,ACBD5,5
ACBD6,ACBD6,5
ACD,ACD,5
ACER2,ACER2,10
ACER3,ACER3,4
ACIN1,ACIN1,5
ACKR1,ACKR1,11
ACKR3,ACKR3,11
ACLY,ACLY,10
ACO1,ACO1,14
ACO2,ACO2,14
ACOT1,ACOT1,14
