node_id,gene_name,community_id,degree,clustering
0,A2M,4,338.000000,0.513564
1,A4GALT,4,107.000000,0.380885
2,AAAS,3,1214.000000,0.426637
3,AACS,13,111.000000,0.679115
4,AAGAB,6,765.000000,0.419276
5,AAMDC,3,509.000000,0.390352
6,AAMP,3,1016.000000,0.449494
7,AAR2,15,840.000000,0.337048
8,AARD,15,73.000000,0.572679
9,AARS1,1,102.000000,0.274898
10,AARS2,15,174.000000,0.551193
11,AASDH,6,1449.000000,0.416628
12,AASDHPPT,1,630.000000,0.381417
13,AASS,2,372.000000,0.537374
14,AATF,5,389.000000,0.329208
15,ABAT,6,450.000000,0.513140
16,ABCA1,2,298.000000,0.357332
17,ABCA2,15,287.000000,0.390707
18,ABCA3,6,289.000000,0.465062
19,ABCB10,10,285.000000,0.572992
20,ABCB7,5,218.000000,0.648586
21,ABCB8,3,808.000000,0.454510
22,ABCC1,6,139.000000,0.639766
23,ABCC10,15,43.000000,0.456257
24,ABCC11,13,113.000000,0.669406
25,ABCC3,11,91.000000,0.495726
26,ABCC5,10,93.000000,0.479663
27,ABCD1,2,110.000000,0.604837
28,ABCD3,6,517.000000,0.433839
29,ABCD4,15,741.000000,0.422223
30,ABCE1,5,961.000000,0.436572
31,ABCF1,15,467.000000,0.421042
32,ABCF2,3,403.000000,0.388319
33,ABCF3,15,1108.000000,0.335420
34,ABCG1,6,140.000000,0.450051
35,ABHD10,6,311.000000,0.344363
36,ABHD11,3,217.000000,0.489205
37,ABHD12,3,433.000000,0.542105
38,ABHD13,6,851.000000,0.420812
39,ABHD14B,4,264.000000,0.374006
40,ABHD15,2,282.000000,0.678781
41,ABHD17A,3,1023.000000,0.511039
42,ABHD17B,5,717.000000,0.559840
43,ABHD17C,10,229.000000,0.465295
44,ABHD2,10,345.000000,0.572481
45,ABHD3,15,125.000000,0.437290
46,ABHD4,6,285.000000,0.557845
47,ABHD5,2,179.000000,0.615718
48,ABHD8,3,992.000000,0.516733
49,ABI1,5,736.000000,0.471388
50,ABI2,6,500.000000,0.417812
51,ABI3,3,262.000000,0.441783
52,ABI3BP,4,22.000000,0.307359
53,ABITRAM,6,1151.000000,0.416616
54,ABL1,15,557.000000,0.479186
55,ABL2,5,723.000000,0.543285
56,ABLIM1,4,323.000000,0.447686
57,ABLIM3,4,92.000000,0.387482
58,ABR,15,899.000000,0.363284
59,ABRACL,4,90.000000,0.315605
60,ABRAXAS2,5,944.000000,0.492197
61,ABT1,3,331.000000,0.549483
62,ABTB1,3,485.000000,0.384868
63,AC007906.2,4,345.000000,0.521571
64,AC069544.2,5,454.000000,0.569361
65,AC093323.1,3,229.000000,0.376235
66,ACAA1,3,348.000000,0.500911
67,ACAA2,2,265.000000,0.650800
68,ACACA,13,121.000000,0.499449
69,ACACB,2,278.000000,0.731475
70,ACAD10,15,1076.000000,0.330226
71,ACAD8,15,701.000000,0.423310
72,ACAD9,15,449.000000,0.418490
73,ACADM,13,123.000000,0.511662
74,ACADS,2,277.000000,0.629415
75,ACADSB,4,320.000000,0.516203
76,ACADVL,4,597.000000,0.396260
77,ACAP2,6,676.000000,0.366754
78,ACAP3,3,465.000000,0.576455
79,ACAT1,10,106.000000,0.550584
80,ACAT2,13,74.000000,0.810070
81,ACBD3,10,655.000000,0.435796
82,ACBD4,3,861.000000,0.480793
83,ACBD5,3,202.000000,0.441505
84,ACBD6,3,905.000000,0.421239
85,ACD,3,879.000000,0.478412
86,ACER2,6,341.000000,0.634708
87,ACER3,7,42.000000,0.674797
88,ACIN1,15,1049.000000,0.374441
89,ACKR1,4,298.000000,0.431293
90,ACKR3,4,149.000000,0.578451
91,ACLY,6,405.000000,0.526635
92,ACO1,2,281.000000,0.692628
93,ACO2,2,57.000000,0.379699
94,ACOT1,2,124.000000,0.736297
95,ACOT13,6,70.000000,0.404141
96,ACOT2,2,137.000000,0.586088
97,ACOT4,6,312.000000,0.449934
98,ACOT7,5,61.000000,0.440437
99,ACOT9,5,106.000000,0.309973
100,ACOX1,6,44.000000,0.556025
101,ACOX2,6,91.000000,0.485226
102,ACOX3,13,79.000000,0.486206
103,ACP1,6,653.000000,0.346438
104,ACP2,15,531.000000,0.306598
105,ACP5,3,285.000000,0.695577
106,ACSF2,10,70.000000,0.363975
107,ACSL1,2,233.000000,0.729244
108,ACSL3,13,114.000000,0.668685
109,ACSL4,2,171.000000,0.277399
110,ACSL5,5,50.000000,0.426122
111,ACSM1,13,105.000000,0.748352
112,ACSS1,3,224.000000,0.588565
113,ACSS2,2,310.000000,0.605387
114,ACTA2,4,399.000000,0.487236
115,ACTB,1,43.000000,0.269103
116,ACTG1,7,181.000000,0.324432
117,ACTG2,4,268.000000,0.541785
118,ACTL6A,6,520.000000,0.441863
119,ACTL8,5,507.000000,0.613880
120,ACTN1,4,253.000000,0.369440
121,ACTN4,4,263.000000,0.597103
122,ACTR10,15,769.000000,0.311962
123,ACTR1A,3,141.000000,0.428571
124,ACTR1B,3,938.000000,0.404717
125,ACTR2,5,852.000000,0.375747
126,ACTR3,5,304.000000,0.315637
127,ACTR5,5,802.000000,0.362844
128,ACTR6,5,172.000000,0.373929
129,ACTR8,6,1384.000000,0.412093
130,ACVR1,1,262.000000,0.372583
131,ACVR1B,15,807.000000,0.407182
132,ACVRL1,4,215.000000,0.505195
133,ADA2,12,30.000000,0.383908
134,ADAM10,6,618.000000,0.519562
135,ADAM12,1,376.000000,0.421007
136,ADAM15,7,230.000000,0.447845
137,ADAM17,5,824.000000,0.504798
138,ADAM8,1,158.000000,0.715633
139,ADAM9,5,272.000000,0.490042
140,ADAMDEC1,12,97.000000,0.579897
141,ADAMTS1,4,192.000000,0.607003
142,ADAMTS12,1,261.000000,0.546006
143,ADAMTS15,15,491.000000,0.529000
144,ADAMTS2,1,292.000000,0.488490
145,ADAMTS4,4,15.000000,0.733333
146,ADAMTS5,4,416.000000,0.416404
147,ADAP2,12,78.000000,0.467865
148,ADAR,7,429.000000,0.377916
149,ADARB1,4,198.000000,0.380454
150,ADAT1,6,1144.000000,0.442347
151,ADCK2,3,445.000000,0.380130
152,ADCK5,3,549.000000,0.643818
153,ADCY3,4,272.000000,0.472650
154,ADCY6,6,617.000000,0.499847
155,ADCY9,15,698.000000,0.424246
156,ADD1,15,841.000000,0.368977
157,ADD3,13,97.000000,0.677620
158,ADGRA2,4,193.000000,0.486399
159,ADGRA3,4,303.000000,0.572181
160,ADGRB2,6,197.000000,0.383508
161,ADGRE5,12,19.000000,0.298246
162,ADGRF5,2,244.000000,0.512177
163,ADGRG1,10,273.000000,0.384966
164,ADGRL1,15,762.000000,0.391880
165,ADGRL4,2,239.000000,0.546500
166,ADH1B,2,263.000000,0.762401
167,ADH1C,2,267.000000,0.487961
168,ADH5,2,445.000000,0.414516
169,ADI1,5,9.000000,0.444444
170,ADIPOQ,2,279.000000,0.725458
171,ADIPOR1,7,164.000000,0.353210
172,ADIPOR2,6,162.000000,0.582011
173,ADK,5,194.000000,0.441803
174,ADM,1,102.000000,0.768783
175,ADNP,6,1091.000000,0.466132
176,ADNP2,5,750.000000,0.544317
177,ADO,5,660.000000,0.546094
178,ADORA1,15,17.000000,0.352941
179,ADPGK,15,669.000000,0.426694
180,ADPRH,5,378.000000,0.389177
181,ADPRM,4,696.000000,0.345779
182,ADPRS,3,289.000000,0.412413
183,ADRA2A,2,12.000000,0.818182
184,ADRB2,2,323.000000,0.621580
185,ADRM1,3,930.000000,0.510705
186,ADSS2,6,472.000000,0.441578
187,AEBP1,1,223.000000,0.564659
188,AEBP2,5,834.000000,0.501308
189,AEN,4,183.000000,0.470306
190,AFAP1L1,2,294.000000,0.668756
191,AFAP1L2,4,82.000000,0.739235
192,AFDN,6,309.000000,0.570945
193,AFF1,6,777.000000,0.558529
194,AFF3,6,200.000000,0.435276
195,AFF4,6,1286.000000,0.454390
196,AFG3L2,6,486.000000,0.647609
197,AFMID,13,116.000000,0.626537
198,AFTPH,6,905.000000,0.470207
199,AGA,3,357.000000,0.519136
200,AGAP1,6,574.000000,0.470602
201,AGAP3,3,947.000000,0.487651
202,AGBL5,5,454.000000,0.446996
203,AGFG1,1,252.000000,0.389205
204,AGFG2,15,862.000000,0.374655
205,AGGF1,6,1452.000000,0.376774
206,AGL,1,127.000000,0.455318
207,AGO1,5,891.000000,0.536098
208,AGO2,5,349.000000,0.398495
209,AGO4,6,618.000000,0.485647
210,AGPAT1,15,219.000000,0.398936
211,AGPAT2,2,271.000000,0.738964
212,AGPAT3,3,183.000000,0.396565
213,AGPAT5,5,333.000000,0.705253
214,AGPS,10,382.000000,0.522571
215,AGR2,3,138.000000,0.581826
216,AGR3,3,82.000000,0.390545
217,AGRN,15,588.000000,0.472772
218,AGT,10,172.000000,0.567931
219,AGTPBP1,3,309.000000,0.454293
220,AGTR1,3,140.000000,0.694553
221,AGTRAP,3,802.000000,0.538249
222,AHCTF1,5,755.000000,0.460066
223,AHCY,3,251.000000,0.355761
224,AHCYL1,6,467.000000,0.488057
225,AHCYL2,6,218.000000,0.451190
226,AHDC1,15,1099.000000,0.359791
227,AHNAK,4,622.000000,0.400511
228,AHR,6,67.000000,0.632293
229,AHSA1,3,253.000000,0.347387
230,AIDA,5,478.000000,0.439813
231,AIF1,3,116.000000,0.353523
232,AIF1L,4,14.000000,0.219780
233,AIFM1,3,169.000000,0.402437
234,AIFM2,2,199.000000,0.849703
235,AIG1,3,23.000000,0.268775
236,AIMP1,5,1182.000000,0.362686
237,AIMP2,3,266.000000,0.341439
238,AIP,3,530.000000,0.451261
239,AJUBA,15,422.000000,0.447378
240,AK2,7,264.000000,0.374957
241,AK3,5,84.000000,0.389558
242,AK4,7,34.000000,0.256684
243,AK5,4,294.000000,0.448283
244,AK6,15,200.000000,0.274171
245,AKAP1,6,418.000000,0.476289
246,AKAP10,6,1120.000000,0.444941
247,AKAP11,6,494.000000,0.510319
248,AKAP12,2,317.000000,0.569920
249,AKAP13,6,892.000000,0.542541
250,AKAP8,15,1124.000000,0.368613
251,AKAP8L,3,808.000000,0.488118
252,AKAP9,6,440.000000,0.646552
253,AKIP1,3,884.000000,0.370918
254,AKIRIN1,7,233.000000,0.416642
255,AKIRIN2,4,52.000000,0.243590
256,AKNA,12,104.000000,0.535848
257,AKR1A1,13,68.000000,0.681738
258,AKR1B1,5,290.000000,0.643121
259,AKR1B15,13,101.000000,0.762574
260,AKR1C1,1,22.000000,0.818182
261,AKR1C2,11,43.000000,0.466224
262,AKR1C3,13,21.000000,0.604762
263,AKR7A2,3,858.000000,0.484432
264,AKR7A3,10,166.000000,0.442789
265,AKT1,3,413.000000,0.460671
266,AKT1S1,3,553.000000,0.552448
267,AKT2,3,203.000000,0.717749
268,AKT3,1,171.000000,0.483385
269,AKTIP,5,605.000000,0.403596
270,ALAD,15,703.000000,0.442925
271,ALAS1,7,194.000000,0.334330
272,ALB,4,65.000000,0.704327
273,ALCAM,13,101.000000,0.447921
274,ALDH16A1,3,484.000000,0.598686
275,ALDH18A1,5,547.000000,0.444422
276,ALDH1A1,4,350.000000,0.458273
277,ALDH1A3,4,127.000000,0.547682
278,ALDH1B1,1,185.000000,0.705582
279,ALDH2,2,275.000000,0.727910
280,ALDH3A2,15,110.000000,0.409842
281,ALDH3B2,13,108.000000,0.711665
282,ALDH4A1,13,8.000000,0.392857
283,ALDH5A1,10,309.000000,0.534737
284,ALDH6A1,2,186.000000,0.743679
285,ALDH7A1,4,179.000000,0.399410
286,ALDH9A1,6,226.000000,0.468004
287,ALDOC,2,326.000000,0.526022
288,ALG1,6,512.000000,0.372798
289,ALG13,6,241.000000,0.351418
290,ALG2,6,793.000000,0.408858
291,ALG3,3,236.000000,0.366210
292,ALG5,3,194.000000,0.399818
293,ALG6,5,461.000000,0.521588
294,ALG8,5,733.000000,0.365874
295,ALKBH1,15,498.000000,0.388104
296,ALKBH2,3,690.000000,0.531667
297,ALKBH3,15,441.000000,0.429107
298,ALKBH4,3,1099.000000,0.457089
