id,label,community
A2M,A2M,12
A4GALT,A4GALT,12
AAAS,AAAS,6
AADAC,AADAC,10
AAGAB,AAGAB,1
AAK1,AAK1,8
AAMDC,AAMDC,0
AAMP,AAMP,2
AAR2,AAR2,6
AARS1,AARS1,1
AARS2,AARS2,4
AASDHPPT,AASDHPPT,6
AATF,AATF,9
ABCA1,ABCA1,10
ABCA2,ABCA2,10
ABCA3,ABCA3,0
ABCB10,ABCB10,10
ABCB7,ABCB7,6
ABCB8,ABCB8,12
ABCC1,ABCC1,6
ABCC10,ABCC10,10
ABCC4,ABCC4,0
ABCC5,ABCC5,6
ABCD1,ABCD1,12
ABCD3,ABCD3,4
ABCD4,ABCD4,6
ABCE1,ABCE1,4
ABCF1,ABCF1,4
ABCF2,ABCF2,6
ABCF3,ABCF3,1
ABCG1,ABCG1,10
ABHD10,ABHD10,2
ABHD11,ABHD11,10
ABHD12,ABHD12,4
ABHD14A,ABHD14A,2
ABHD14B,ABHD14B,7
ABHD17A,ABHD17A,12
ABHD17B,ABHD17B,1
ABHD17C,ABHD17C,12
ABHD2,ABHD2,10
ABHD4,ABHD4,6
ABHD5,ABHD5,4
ABHD8,ABHD8,12
ABI1,ABI1,10
ABI3,ABI3,10
ABI3BP,ABI3BP,8
ABITRAM,ABITRAM,6
ABL1,ABL1,6
ABLIM1,ABLIM1,2
ABR,ABR,10
ABRACL,ABRACL,4
ABRAXAS2,ABRAXAS2,12
ABT1,ABT1,4
ABTB1,ABTB1,10
AC004233.4,AC004233.4,6
AC007906.2,AC007906.2,12
AC055839.2,AC055839.2,6
AC069544.2,AC069544.2,4
AC093323.1,AC093323.1,12
ACAA1,ACAA1,4
ACAA2,ACAA2,4
ACACA,ACACA,4
ACAD10,ACAD10,8
ACAD8,ACAD8,7
ACAD9,ACAD9,4
ACADM,ACADM,4
ACADS,ACADS,3
ACADVL,ACADVL,4
ACAP2,ACAP2,1
ACAP3,ACAP3,5
ACAT1,ACAT1,4
ACAT2,ACAT2,4
ACBD3,ACBD3,1
ACBD4,ACBD4,7
ACBD6,ACBD6,4
ACBD7,ACBD7,6
ACD,ACD,6
ACER3,ACER3,6
ACIN1,ACIN1,4
ACKR3,ACKR3,6
ACLY,ACLY,4
ACO1,ACO1,12
