id,label,community
A2M,A2M,10
A4GALT,A4GALT,10
AAAS,AAAS,4
AADAC,AADAC,3
AAGAB,AAGAB,7
AAK1,AAK1,11
AAMDC,AAMDC,11
AAMP,AAMP,3
AAR2,AAR2,4
AARS1,AARS1,7
AARS2,AARS2,8
AASDHPPT,AASDHPPT,4
AATF,AATF,1
ABCA1,ABCA1,0
ABCA2,ABCA2,0
ABCA3,ABCA3,11
ABCB10,ABCB10,0
ABCB7,ABCB7,4
ABCB8,ABCB8,10
ABCC1,ABCC1,4
ABCC10,ABCC10,0
ABCC4,ABCC4,11
ABCC5,ABCC5,4
ABCD1,ABCD1,10
ABCD3,ABCD3,8
ABCD4,ABCD4,4
ABCE1,ABCE1,8
ABCF1,ABCF1,8
ABCF2,ABCF2,4
ABCF3,ABCF3,7
ABCG1,ABCG1,0
ABHD10,ABHD10,9
ABHD11,ABHD11,0
ABHD12,ABHD12,8
ABHD14A,ABHD14A,6
ABHD14B,ABHD14B,3
ABHD17A,ABHD17A,10
ABHD17B,ABHD17B,7
ABHD17C,ABHD17C,10
ABHD2,ABHD2,0
ABHD4,ABHD4,4
ABHD5,ABHD5,8
ABHD8,ABHD8,10
ABI1,ABI1,0
ABI3,ABI3,0
ABI3BP,ABI3BP,10
ABITRAM,ABITRAM,4
ABL1,ABL1,4
ABLIM1,ABLIM1,6
ABR,ABR,0
ABRACL,ABRACL,8
ABRAXAS2,ABRAXAS2,10
ABT1,ABT1,3
ABTB1,ABTB1,0
AC004233.4,AC004233.4,4
AC007906.2,AC007906.2,3
AC055839.2,AC055839.2,4
AC069544.2,AC069544.2,8
AC093323.1,AC093323.1,10
ACAA1,ACAA1,8
ACAA2,ACAA2,8
ACACA,ACACA,8
ACAD10,ACAD10,3
ACAD8,ACAD8,3
ACAD9,ACAD9,8
ACADM,ACADM,8
ACADS,ACADS,2
ACADVL,ACADVL,8
ACAP2,ACAP2,7
ACAP3,ACAP3,5
ACAT1,ACAT1,8
ACAT2,ACAT2,8
ACBD3,ACBD3,7
ACBD4,ACBD4,3
ACBD6,ACBD6,8
ACBD7,ACBD7,4
ACD,ACD,4
ACER3,ACER3,4
ACIN1,ACIN1,8
ACKR3,ACKR3,4
ACLY,ACLY,8
ACO1,ACO1,10
ACO2,ACO2,11
ACOT13,ACOT13,3
ACOT2,ACOT2,4
ACOT7,ACOT7,7
ACOT8,ACOT8,11
ACOT9,ACOT9,11
ACOX1,ACOX1,2
ACP1,ACP1,4
ACP2,ACP2,0
ACP5,ACP5,7
ACSF2,ACSF2,8
ACSL1,ACSL1,0
ACSL3,ACSL3,10
ACSL4,ACSL4,4
ACSL5,ACSL5,10
ACSS1,ACSS1,4
ACSS2,ACSS2,8
ACTA2,ACTA2,10
ACTB,ACTB,7
ACTG1,ACTG1,4
ACTG2,ACTG2,10
ACTL6A,ACTL6A,7
ACTN1,ACTN1,10
ACTN4,ACTN4,2
ACTR10,ACTR10,4
ACTR1A,ACTR1A,10
ACTR1B,ACTR1B,11
ACTR2,ACTR2,10
ACTR3,ACTR3,10
ACTR5,ACTR5,4
ACTR6,ACTR6,8
ACTR8,ACTR8,8
ACVR1,ACVR1,10
ACVR1B,ACVR1B,2
ACY3,ACY3,5
ACYP1,ACYP1,5
ADA2,ADA2,3
ADAM10,ADAM10,10
ADAM15,ADAM15,8
ADAM17,ADAM17,10
ADAM8,ADAM8,0
ADAM9,ADAM9,0
ADAMTS1,ADAMTS1,2
ADAMTS15,ADAMTS15,0
ADAP2,ADAP2,0
ADAR,ADAR,3
ADAT1,ADAT1,0
ADCK2,ADCK2,9
ADCK5,ADCK5,3
ADCY3,ADCY3,10
ADCY6,ADCY6,8
ADCY8,ADCY8,3
ADD1,ADD1,10
ADD3,ADD3,5
ADGRA2,ADGRA2,10
ADGRA3,ADGRA3,8
ADGRE5,ADGRE5,9
ADGRG1,ADGRG1,7
ADGRG2,ADGRG2,3
ADGRL1,ADGRL1,8
ADGRL2,ADGRL2,4
ADH5,ADH5,8
ADI1,ADI1,2
ADIPOR1,ADIPOR1,6
ADIPOR2,ADIPOR2,8
ADK,ADK,8
ADM,ADM,10
ADNP,ADNP,0
ADNP2,ADNP2,4
ADO,ADO,4
ADORA1,ADORA1,6
ADPGK,ADPGK,10
ADPRS,ADPRS,9
ADRA2A,ADRA2A,0
ADRA2C,ADRA2C,0
ADRM1,ADRM1,2
ADSS2,ADSS2,7
AEBP1,AEBP1,10
AEBP2,AEBP2,4
AFAP1L2,AFAP1L2,0
AFDN,AFDN,8
AFF1,AFF1,10
AFF4,AFF4,4
AFG3L2,AFG3L2,2
AFMID,AFMID,4
AFTPH,AFTPH,8
AGA,AGA,7
AGAP1,AGAP1,4
AGAP3,AGAP3,10
AGBL5,AGBL5,10
AGER,AGER,11
AGFG1,AGFG1,8
AGFG2,AGFG2,2
AGGF1,AGGF1,4
AGK,AGK,8
AGL,AGL,8
AGO1,AGO1,7
AGO2,AGO2,0
AGPAT1,AGPAT1,3
AGPAT2,AGPAT2,2
AGPAT3,AGPAT3,0
AGPAT5,AGPAT5,3
AGPS,AGPS,8
AGR3,AGR3,1
AGRN,AGRN,7
AGT,AGT,10
AGTRAP,AGTRAP,7
AHCTF1,AHCTF1,0
AHCY,AHCY,4
AHCYL1,AHCYL1,0
AHCYL2,AHCYL2,4
AHDC1,AHDC1,8
AHNAK,AHNAK,3
AHNAK2,AHNAK2,3
AHR,AHR,8
AHSA1,AHSA1,4
AIDA,AIDA,3
AIF1,AIF1,0
AIF1L,AIF1L,4
AIFM1,AIFM1,3
AIG1,AIG1,8
AIMP1,AIMP1,7
AIMP2,AIMP2,0
AIP,AIP,6
AJUBA,AJUBA,4
AK2,AK2,3
AK3,AK3,4
AK4,AK4,4
AK6,AK6,4
AKAP1,AKAP1,8
AKAP10,AKAP10,8
AKAP11,AKAP11,4
AKAP12,AKAP12,2
AKAP13,AKAP13,10
AKAP8,AKAP8,7
AKAP8L,AKAP8L,8
AKIP1,AKIP1,0
AKIRIN1,AKIRIN1,9
AKIRIN2,AKIRIN2,10
AKNA,AKNA,0
AKR1A1,AKR1A1,11
AKR1B1,AKR1B1,9
AKR1C3,AKR1C3,8
AKR7A2,AKR7A2,10
AKT1,AKT1,7
AKT1S1,AKT1S1,10
AKT2,AKT2,2
AKTIP,AKTIP,7
ALAD,ALAD,0
ALAS1,ALAS1,8
ALCAM,ALCAM,8
ALDH16A1,ALDH16A1,4
ALDH18A1,ALDH18A1,4
ALDH1A1,ALDH1A1,7
ALDH1A2,ALDH1A2,5
ALDH1B1,ALDH1B1,10
ALDH2,ALDH2,11
ALDH3A2,ALDH3A2,8
ALDH3B1,ALDH3B1,1
ALDH3B2,ALDH3B2,3
ALDH4A1,ALDH4A1,7
ALDH5A1,ALDH5A1,3
ALDH6A1,ALDH6A1,4
ALDH7A1,ALDH7A1,8
ALDH9A1,ALDH9A1,0
ALDOA,ALDOA,11
ALDOC,ALDOC,0
ALG1,ALG1,3
ALG13,ALG13,4
ALG2,ALG2,2
ALG3,ALG3,7
ALG5,ALG5,10
ALG6,ALG6,8
ALG8,ALG8,4
ALKBH1,ALKBH1,4
ALKBH2,ALKBH2,11
ALKBH3,ALKBH3,10
ALKBH4,ALKBH4,4
ALKBH5,ALKBH5,8
ALKBH7,ALKBH7,2
ALOX5,ALOX5,0
ALOX5AP,ALOX5AP,0
ALPG,ALPG,9
ALPL,ALPL,6
ALPP,ALPP,4
ALS2CL,ALS2CL,5
ALYREF,ALYREF,7
AMBRA1,AMBRA1,0
AMD1,AMD1,8
AMFR,AMFR,7
AMIGO2,AMIGO2,7
AMMECR1,AMMECR1,3
AMMECR1L,AMMECR1L,0
AMOT,AMOT,4
AMOTL1,AMOTL1,10
AMOTL2,AMOTL2,10
AMPD2,AMPD2,4
AMZ2,AMZ2,7
ANAPC11,ANAPC11,4
ANAPC13,ANAPC13,10
ANAPC16,ANAPC16,6
ANAPC2,ANAPC2,2
ANAPC5,ANAPC5,8
ANAPC7,ANAPC7,8
ANGEL1,ANGEL1,4
ANGEL2,ANGEL2,3
ANGPTL2,ANGPTL2,10
ANGPTL4,ANGPTL4,10
ANKEF1,ANKEF1,8
ANKFY1,ANKFY1,8
ANKH,ANKH,10
ANKIB1,ANKIB1,8
ANKLE2,ANKLE2,7
ANKMY2,ANKMY2,11
ANKRA2,ANKRA2,4
ANKRD10,ANKRD10,8
ANKRD11,ANKRD11,4
ANKRD13A,ANKRD13A,8
ANKRD13C,ANKRD13C,0
ANKRD13D,ANKRD13D,0
ANKRD16,ANKRD16,8
ANKRD17,ANKRD17,9
ANKRD27,ANKRD27,2
ANKRD28,ANKRD28,8
ANKRD33B,ANKRD33B,10
ANKRD40,ANKRD40,4
ANKRD49,ANKRD49,4
ANKRD52,ANKRD52,8
ANKRD54,ANKRD54,1
ANKRD6,ANKRD6,3
ANKRD65,ANKRD65,9
ANKS1A,ANKS1A,8
ANKS6,ANKS6,2
ANKZF1,ANKZF1,8
ANLN,ANLN,7
ANO1,ANO1,9
ANO10,ANO10,8
ANO6,ANO6,8
ANO8,ANO8,8
ANO9,ANO9,10
ANP32A,ANP32A,8
ANP32B,ANP32B,4
ANP32E,ANP32E,8
ANPEP,ANPEP,0
ANTKMT,ANTKMT,6
ANTXR1,ANTXR1,10
ANXA1,ANXA1,10
ANXA11,ANXA11,2
ANXA2,ANXA2,3
ANXA3,ANXA3,2
ANXA4,ANXA4,2
ANXA5,ANXA5,7
ANXA6,ANXA6,10
ANXA7,ANXA7,7
ANXA9,ANXA9,3
AOC1,AOC1,10
AOPEP,AOPEP,2
AP1B1,AP1B1,0
AP1G1,AP1G1,4
AP1G2,AP1G2,4
AP1M1,AP1M1,4
AP1M2,AP1M2,8
AP1S1,AP1S1,4
AP1S2,AP1S2,4
AP2A1,AP2A1,10
AP2A2,AP2A2,0
AP2B1,AP2B1,8
AP2M1,AP2M1,7
AP2S1,AP2S1,10
AP3B1,AP3B1,8
AP3D1,AP3D1,10
AP3M1,AP3M1,4
AP3M2,AP3M2,4
AP3S1,AP3S1,11
AP4M1,AP4M1,8
AP5B1,AP5B1,0
AP5Z1,AP5Z1,0
APBB1,APBB1,11
APBB1IP,APBB1IP,0
APBB3,APBB3,3
APCDD1,APCDD1,10
APEH,APEH,3
APEX1,APEX1,4
APEX2,APEX2,4
APH1A,APH1A,3
API5,API5,0
APIP,APIP,2
APLN,APLN,10
APLP1,APLP1,4
APLP2,APLP2,10
APMAP,APMAP,4
APOA1,APOA1,6
APOBEC3B,APOBEC3B,2
APOBEC3C,APOBEC3C,3
APOBEC3G,APOBEC3G,0
APOC1,APOC1,0
APOD,APOD,10
APOE,APOE,0
APOL1,APOL1,11
APOL2,APOL2,11
APOL3,APOL3,0
APOL4,APOL4,10
APOL6,APOL6,5
APOO,APOO,11
APOOL,APOOL,4
APP,APP,4
APPBP2,APPBP2,4
APPL1,APPL1,8
APPL2,APPL2,4
APRT,APRT,6
AQP1,AQP1,10
AQP3,AQP3,3
AQP5,AQP5,7
AQP9,AQP9,3
AQR,AQR,4
AR,AR,9
ARAF,ARAF,7
ARAP1,ARAP1,0
ARAP3,ARAP3,4
ARCN1,ARCN1,11
AREL1,AREL1,4
ARF1,ARF1,7
ARF3,ARF3,2
ARF4,ARF4,8
ARF5,ARF5,9
ARF6,ARF6,4
ARFGAP1,ARFGAP1,10
ARFGAP2,ARFGAP2,0
ARFGAP3,ARFGAP3,10
ARFGEF1,ARFGEF1,0
ARFGEF2,ARFGEF2,0
ARFIP1,ARFIP1,7
ARFIP2,ARFIP2,2
ARFRP1,ARFRP1,11
ARGLU1,ARGLU1,5
ARHGAP1,ARHGAP1,11
ARHGAP11A,ARHGAP11A,7
ARHGAP12,ARHGAP12,8
ARHGAP17,ARHGAP17,4
ARHGAP18,ARHGAP18,0
ARHGAP21,ARHGAP21,0
ARHGAP23,ARHGAP23,2
ARHGAP26,ARHGAP26,3
ARHGAP29,ARHGAP29,2
ARHGAP30,ARHGAP30,0
ARHGAP32,ARHGAP32,10
ARHGAP33,ARHGAP33,2
ARHGAP35,ARHGAP35,10
ARHGAP39,ARHGAP39,0
ARHGAP4,ARHGAP4,7
ARHGAP45,ARHGAP45,0
ARHGDIA,ARHGDIA,7
ARHGDIB,ARHGDIB,0
ARHGEF1,ARHGEF1,2
ARHGEF10L,ARHGEF10L,8
ARHGEF11,ARHGEF11,4
ARHGEF12,ARHGEF12,7
ARHGEF16,ARHGEF16,2
ARHGEF17,ARHGEF17,4
ARHGEF18,ARHGEF18,4
ARHGEF19,ARHGEF19,8
ARHGEF2,ARHGEF2,0
ARHGEF3,ARHGEF3,10
ARHGEF37,ARHGEF37,11
ARHGEF40,ARHGEF40,8
ARHGEF5,ARHGEF5,9
ARHGEF7,ARHGEF7,8
ARID1A,ARID1A,8
ARID2,ARID2,8
ARID4A,ARID4A,4
ARID4B,ARID4B,4
ARID5A,ARID5A,7
ARID5B,ARID5B,4
ARIH1,ARIH1,3
ARIH2,ARIH2,8
ARL1,ARL1,10
ARL13B,ARL13B,7
ARL14EP,ARL14EP,4
ARL16,ARL16,4
ARL2,ARL2,6
ARL3,ARL3,4
ARL4C,ARL4C,7
ARL4D,ARL4D,3
ARL5A,ARL5A,4
ARL5B,ARL5B,10
ARL6IP1,ARL6IP1,7
ARL6IP5,ARL6IP5,8
ARL6IP6,ARL6IP6,7
ARL8A,ARL8A,0
ARL8B,ARL8B,8
ARMC1,ARMC1,10
ARMC10,ARMC10,4
ARMC6,ARMC6,4
ARMC7,ARMC7,7
ARMC8,ARMC8,8
ARMCX1,ARMCX1,4
ARMCX2,ARMCX2,4
ARMCX3,ARMCX3,4
ARMCX6,ARMCX6,4
ARMH3,ARMH3,0
ARMT1,ARMT1,8
ARNT,ARNT,8
ARNT2,ARNT2,4
ARPC1A,ARPC1A,9
ARPC2,ARPC2,10
ARPC3,ARPC3,10
ARPC4,ARPC4,4
ARPC5,ARPC5,8
ARPC5L,ARPC5L,5
ARPIN,ARPIN,5
ARPP19,ARPP19,7
ARRB2,ARRB2,8
ARRDC1,ARRDC1,2
ARRDC2,ARRDC2,10
ARRDC3,ARRDC3,8
ARSA,ARSA,10
ARSD,ARSD,7
ARV1,ARV1,10
ARVCF,ARVCF,2
ASAH1,ASAH1,0
ASAP1,ASAP1,8
ASAP2,ASAP2,7
ASAP3,ASAP3,8
ASB13,ASB13,8
ASB6,ASB6,2
ASB7,ASB7,10
ASB8,ASB8,8
ASCC1,ASCC1,4
ASCC2,ASCC2,2
ASCC3,ASCC3,8
ASCL2,ASCL2,4
ASF1A,ASF1A,8
ASF1B,ASF1B,7
ASH1L,ASH1L,0
ASH2L,ASH2L,8
ASNSD1,ASNSD1,11
ASPH,ASPH,7
ASPHD1,ASPHD1,2
ASRGL1,ASRGL1,0
ASS1,ASS1,2
ASXL1,ASXL1,7
ASXL2,ASXL2,0
ATAD1,ATAD1,4
ATAD2,ATAD2,5
ATAD3A,ATAD3A,7
ATAD3C,ATAD3C,5
ATAT1,ATAT1,8
ATE1,ATE1,4
ATF1,ATF1,7
ATF2,ATF2,4
ATF3,ATF3,10
ATF4,ATF4,11
ATF5,ATF5,10
ATF6,ATF6,4
ATF6B,ATF6B,3
ATF7,ATF7,8
ATF7IP,ATF7IP,8
ATG101,ATG101,7
ATG12,ATG12,4
ATG13,ATG13,0
ATG14,ATG14,4
ATG16L1,ATG16L1,3
ATG2A,ATG2A,3
ATG3,ATG3,2
ATG4B,ATG4B,4
ATG4C,ATG4C,8
ATG4D,ATG4D,7
ATG5,ATG5,4
ATG9A,ATG9A,0
ATIC,ATIC,3
ATL2,ATL2,2
ATL3,ATL3,7
ATMIN,ATMIN,4
ATN1,ATN1,4
ATOX1,ATOX1,10
ATP11A,ATP11A,8
ATP11B,ATP11B,10
ATP13A1,ATP13A1,4
ATP13A2,ATP13A2,10
ATP13A3,ATP13A3,10
ATP1A1,ATP1A1,8
ATP1B1,ATP1B1,5
ATP1B2,ATP1B2,6
ATP1B3,ATP1B3,11
ATP2A2,ATP2A2,10
ATP2B1,ATP2B1,2
ATP2B4,ATP2B4,0
ATP2C1,ATP2C1,8
ATP5F1A,ATP5F1A,3
ATP5F1B,ATP5F1B,8
ATP5F1C,ATP5F1C,8
ATP5F1D,ATP5F1D,2
ATP5F1E,ATP5F1E,8
ATP5IF1,ATP5IF1,2
ATP5MC1,ATP5MC1,10
ATP5MC2,ATP5MC2,10
ATP5MC3,ATP5MC3,10
ATP5MD,ATP5MD,6
ATP5ME,ATP5ME,9
ATP5MF,ATP5MF,0
ATP5MG,ATP5MG,11
ATP5MPL,ATP5MPL,4
ATP5PB,ATP5PB,0
ATP5PD,ATP5PD,2
ATP5PF,ATP5PF,2
ATP5PO,ATP5PO,10
ATP6AP1,ATP6AP1,0
ATP6AP2,ATP6AP2,4
ATP6V0A1,ATP6V0A1,8
ATP6V0B,ATP6V0B,9
ATP6V0D1,ATP6V0D1,0
ATP6V0E1,ATP6V0E1,10
ATP6V0E2,ATP6V0E2,4
ATP6V1A,ATP6V1A,8
ATP6V1B1,ATP6V1B1,10
ATP6V1B2,ATP6V1B2,0
ATP6V1C1,ATP6V1C1,0
ATP6V1D,ATP6V1D,4
ATP6V1E1,ATP6V1E1,10
ATP6V1F,ATP6V1F,6
ATP6V1G1,ATP6V1G1,4
ATP6V1H,ATP6V1H,8
ATP8B1,ATP8B1,7
ATP8B2,ATP8B2,8
ATP9A,ATP9A,0
ATPAF1,ATPAF1,8
ATPSCKMT,ATPSCKMT,9
ATRAID,ATRAID,6
ATRN,ATRN,4
ATRX,ATRX,4
ATXN10,ATXN10,2
ATXN1L,ATXN1L,4
ATXN2,ATXN2,8
ATXN2L,ATXN2L,7
ATXN7L3,ATXN7L3,10
ATXN7L3B,ATXN7L3B,4
AUH,AUH,2
AUP1,AUP1,2
AURKA,AURKA,8
AURKAIP1,AURKAIP1,7
AURKB,AURKB,8
AVL9,AVL9,8
AVPI1,AVPI1,9
AXIN1,AXIN1,7
AXIN2,AXIN2,4
AXL,AXL,10
AZGP1,AZGP1,8
AZIN1,AZIN1,0
B2M,B2M,7
B3GALNT1,B3GALNT1,7
B3GALT4,B3GALT4,3
B3GALT6,B3GALT6,10
B3GAT3,B3GAT3,7
B3GNT2,B3GNT2,10
B3GNT3,B3GNT3,2
B3GNT7,B3GNT7,0
B3GNT9,B3GNT9,9
B4GALNT4,B4GALNT4,4
B4GALT1,B4GALT1,7
B4GALT2,B4GALT2,8
B4GALT3,B4GALT3,0
B4GALT5,B4GALT5,8
B4GALT7,B4GALT7,10
B4GAT1,B4GAT1,10
B9D2,B9D2,11
BABAM1,BABAM1,6
BABAM2,BABAM2,2
BACE1,BACE1,4
BACE2,BACE2,11
BACH1,BACH1,10
BAD,BAD,4
BAG1,BAG1,11
BAG3,BAG3,10
BAG4,BAG4,8
BAG5,BAG5,4
BAG6,BAG6,8
BAHD1,BAHD1,7
BAIAP2,BAIAP2,2
BAIAP2L1,BAIAP2L1,7
BAIAP3,BAIAP3,1
BAK1,BAK1,7
BANF1,BANF1,3
BAP1,BAP1,8
BARX2,BARX2,10
BASP1,BASP1,4
BAX,BAX,10
BAZ1A,BAZ1A,8
BAZ1B,BAZ1B,8
BAZ2A,BAZ2A,7
BBOX1,BBOX1,2
BBS10,BBS10,4
BBS2,BBS2,4
BBS4,BBS4,4
BBX,BBX,8
BCAM,BCAM,10
BCAP31,BCAP31,10
BCAR1,BCAR1,10
BCAR3,BCAR3,0
BCAS2,BCAS2,0
BCAT1,BCAT1,0
BCAT2,BCAT2,3
BCCIP,BCCIP,4
BCKDHB,BCKDHB,3
BCKDK,BCKDK,10
BCL10,BCL10,9
BCL2A1,BCL2A1,10
BCL2L1,BCL2L1,6
BCL2L11,BCL2L11,8
BCL2L12,BCL2L12,10
BCL2L13,BCL2L13,0
BCL2L2,BCL2L2,3
BCL3,BCL3,10
BCL6,BCL6,3
BCL7A,BCL7A,4
BCL7B,BCL7B,4
BCL7C,BCL7C,6
BCL9,BCL9,4
BCL9L,BCL9L,11
BCLAF1,BCLAF1,8
BCOR,BCOR,4
BCORL1,BCORL1,4
