ClusteringCoefficient,Dataset
0.513564,Breast
0.380885,Breast
0.426637,Breast
0.679115,Breast
0.419276,Breast
0.390352,Breast
0.449494,Breast
0.337048,Breast
0.572679,Breast
0.274898,Breast
0.551193,Breast
0.416628,Breast
0.381417,Breast
0.537374,Breast
0.329208,Breast
0.513140,Breast
0.357332,Breast
0.390707,Breast
0.465062,Breast
0.572992,Breast
0.648586,Breast
0.454510,Breast
0.639766,Breast
0.456257,Breast
0.669406,Breast
0.495726,Breast
0.479663,Breast
0.604837,Breast
0.433839,Breast
0.422223,Breast
0.436572,Breast
0.421042,Breast
0.388319,Breast
0.335420,Breast
0.450051,Breast
0.344363,Breast
0.489205,Breast
0.542105,Breast
0.420812,Breast
0.374006,Breast
0.678781,Breast
0.511039,Breast
0.559840,Breast
0.465295,Breast
0.572481,Breast
0.437290,Breast
0.557845,Breast
0.615718,Breast
0.516733,Breast
0.471388,Breast
0.417812,Breast
0.441783,Breast
0.307359,Breast
0.416616,Breast
0.479186,Breast
0.543285,Breast
0.447686,Breast
0.387482,Breast
0.363284,Breast
0.315605,Breast
0.492197,Breast
0.549483,Breast
0.384868,Breast
0.521571,Breast
0.569361,Breast
0.376235,Breast
0.500911,Breast
0.650800,Breast
0.499449,Breast
0.731475,Breast
0.330226,Breast
0.423310,Breast
0.418490,Breast
0.511662,Breast
0.629415,Breast
0.516203,Breast
0.396260,Breast
0.366754,Breast
0.576455,Breast
0.550584,Breast
0.810070,Breast
0.435796,Breast
0.480793,Breast
0.441505,Breast
0.421239,Breast
0.478412,Breast
0.634708,Breast
0.674797,Breast
0.374441,Breast
0.431293,Breast
0.578451,Breast
0.526635,Breast
0.692628,Breast
0.379699,Breast
0.736297,Breast
0.404141,Breast
0.586088,Breast
0.449934,Breast
0.440437,Breast
0.309973,Breast
0.556025,Breast
0.485226,Breast
0.486206,Breast
0.346438,Breast
0.306598,Breast
0.695577,Breast
0.363975,Breast
0.729244,Breast
0.668685,Breast
0.277399,Breast
0.426122,Breast
0.748352,Breast
0.588565,Breast
0.605387,Breast
0.487236,Breast
0.269103,Breast
0.324432,Breast
0.541785,Breast
0.441863,Breast
0.613880,Breast
0.369440,Breast
0.597103,Breast
0.311962,Breast
0.428571,Breast
0.404717,Breast
0.375747,Breast
0.315637,Breast
0.362844,Breast
0.373929,Breast
0.412093,Breast
0.372583,Breast
0.407182,Breast
0.505195,Breast
0.383908,Breast
0.519562,Breast
0.421007,Breast
0.447845,Breast
0.504798,Breast
0.715633,Breast
0.490042,Breast
0.579897,Breast
0.607003,Breast
0.546006,Breast
0.529000,Breast
0.488490,Breast
0.733333,Breast
0.416404,Breast
0.467865,Breast
0.377916,Breast
0.380454,Breast
0.442347,Breast
0.380130,Breast
0.643818,Breast
0.472650,Breast
0.499847,Breast
0.424246,Breast
0.368977,Breast
0.677620,Breast
0.486399,Breast
0.572181,Breast
0.383508,Breast
0.298246,Breast
0.512177,Breast
0.384966,Breast
0.391880,Breast
0.546500,Breast
0.762401,Breast
0.487961,Breast
0.414516,Breast
0.444444,Breast
0.725458,Breast
0.353210,Breast
0.582011,Breast
0.441803,Breast
0.768783,Breast
0.466132,Breast
0.544317,Breast
0.546094,Breast
0.352941,Breast
0.426694,Breast
0.389177,Breast
0.345779,Breast
0.412413,Breast
0.818182,Breast
0.621580,Breast
0.510705,Breast
0.441578,Breast
0.564659,Breast
0.501308,Breast
0.470306,Breast
0.668756,Breast
0.739235,Breast
0.570945,Breast
0.558529,Breast
0.435276,Breast
0.454390,Breast
0.647609,Breast
0.626537,Breast
0.470207,Breast
0.519136,Breast
0.470602,Breast
